
Blender killed
9M (0.00M, Peak 1073.94M) | Time:00:01.83 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | car0
Fra:44 Mem:1057.08M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000126
Fra:44 Mem:1057.08M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000127
Fra:44 Mem:1057.08M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000128
Fra:44 Mem:1057.08M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000129
Fra:44 Mem:1057.08M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000130
Fra:44 Mem:1057.08M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000131
Fra:44 Mem:1057.08M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000132
Fra:44 Mem:1057.08M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000133
Fra:44 Mem:1057.08M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000134
Fra:44 Mem:1057.08M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000135
Fra:44 Mem:1057.08M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000136
Fra:44 Mem:1057.09M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000137
Fra:44 Mem:1057.09M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000138
Fra:44 Mem:1057.09M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000139
Fra:44 Mem:1057.09M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000140
Fra:44 Mem:1057.09M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000141
Fra:44 Mem:1057.09M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000142
Fra:44 Mem:1057.09M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000143
Fra:44 Mem:1057.09M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000144
Fra:44 Mem:1057.09M (0.00M, Peak 1154.20M) | Time:00:04.06 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000145
Fra:44 Mem:1057.09M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000146
Fra:44 Mem:1057.09M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000147
Fra:44 Mem:1057.09M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000148
Fra:44 Mem:1057.09M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000149
Fra:44 Mem:1057.09M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000150
Fra:44 Mem:1057.10M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000151
Fra:44 Mem:1057.10M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000152
Fra:44 Mem:1057.10M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000153
Fra:44 Mem:1057.10M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000154
Fra:44 Mem:1057.10M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000155
Fra:44 Mem:1057.10M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000156
Fra:44 Mem:1057.10M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000157
Fra:44 Mem:1057.10M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000158
Fra:44 Mem:1057.10M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000159
Fra:44 Mem:1057.10M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000160
Fra:44 Mem:1057.10M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000161
Fra:44 Mem:1057.10M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000162
Fra:44 Mem:1057.11M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000163
Fra:44 Mem:1057.11M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000164
Fra:44 Mem:1057.11M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000165
Fra:44 Mem:1057.11M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000166
Fra:44 Mem:1057.11M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000167
Fra:44 Mem:1057.11M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000168
Fra:44 Mem:1057.11M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000169
Fra:44 Mem:1057.11M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000170
Fra:44 Mem:1057.11M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000171
Fra:44 Mem:1057.11M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000172
Fra:44 Mem:1057.11M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000173
Fra:44 Mem:1057.11M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000174
Fra:44 Mem:1057.11M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000175
Fra:44 Mem:1057.11M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000176
Fra:44 Mem:1057.12M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000177
Fra:44 Mem:1057.12M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000178
Fra:44 Mem:1057.12M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000179
Fra:44 Mem:1057.12M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000180
Fra:44 Mem:1057.12M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000181
Fra:44 Mem:1057.12M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000182
Fra:44 Mem:1057.12M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000183
Fra:44 Mem:1057.12M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000184
Fra:44 Mem:1057.12M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000185
Fra:44 Mem:1057.12M (0.00M, Peak 1154.20M) | Time:00:04.07 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000186
Fra:44 Mem:1057.12M (0.00M, Peak 1154.20M) | Time:00:04.08 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | 0000000187
Fra:44 Mem:1057.12M (0.00M, Peak 1154.20M) | Time:00:04.08 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | car.001
Fra:44 Mem:1059.73M (0.00M, Peak 1154.20M) | Time:00:04.11 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | car.002
Fra:44 Mem:1060.77M (0.00M, Peak 1154.20M) | Time:00:04.11 | Mem:0.00M, Peak:0.00M | Scene, RenderLayer | Synchronizing object | car.003
